6028	5	6
9813	2	10
10249	7	8
10478	8	8
10479	3	2
10516	6	3
10519	9	10
10525	3	7
10606	6	1
10611	6	9
10632	1	6
10638	9	4
10671	1	3
10673	7	9
10676	4	8
10975	10	7
11031	3	1
11096	7	4
11196	3	6
11263	3	3
11598	7	2
11616	1	8
11617	5	1
11637	7	9
11676	8	2
11685	2	10
11689	9	3
11696	4	2
11736	4	8
11738	2	6
11814	1	8
11832	1	8
11840	7	9
11858	5	10
11861	7	1
11862	5	3
11863	5	2
11879	9	2
11880	10	9
11889	2	6
11892	2	7
11959	1	1
11961	3	9
11979	7	8
11989	7	7
11993	4	8
12020	7	1
12039	6	4
12074	9	8
12093	9	6
12173	10	2
12208	10	9
12211	6	6
12239	7	9
12252	4	4
12272	5	7
12308	8	3
12336	7	4
12358	2	6
12374	2	9
12376	1	6
12399	10	9
12412	9	2
12455	9	7
12472	3	3
