6028	13
9813	7
10249	13
10478	3
10479	17
10516	16
10519	7
10525	14
10606	15
10611	14
10632	3
10638	14
10671	7
10673	13
10676	9
10975	8
11031	9
11096	12
11196	13
11263	8
11598	8
11616	17
11617	15
11637	15
11676	10
11685	5
11689	10
11696	12
11736	12
11738	7
11814	14
11832	19
11840	10
11858	8
11861	11
11862	11
11863	6
11879	11
11880	8
11889	14
11892	6
11959	4
11961	4
11979	12
11989	8
11993	8
12020	2
12039	12
12074	11
12093	13
12173	5
12208	10
12211	17
12239	14
12252	5
12272	10
12308	10
12336	11
12358	19
12374	12
12376	17
12399	7
12412	11
12455	6
12472	9
